Name,Best Pos,xG,Shot/90,ShT/90,Gls/90,Asts/90,Hdrs W/90,K Ps/90,Ps C/90,DrbPG,Cr A,Pas %,Int/90,Tck,Tck R,Fls
Robert Lewandowski[E],ST (C),1.19,4.5,2.18,1.36,0.15,1.86,1.38,18.68,0,0,0,0,0,0,0
Ciro Immobile[E],ST (C),0.66,3.42,1.37,0.68,0.16,0.72,1.26,20.37,0,0,0,0,0,0,0
Romelu Lukaku[E],ST (C),0.55,2.64,1.06,0.56,0.26,1.56,1.59,14.81,0,0,0,0,0,0,0
Jamie Vardy[E],ST (C),0.46,2.4,0.81,0.38,0.16,1.75,0.86,10.01,0,0,0,0,0,0,0
Harry Kane[E],ST (C),0.57,3.62,1.36,0.49,0.14,2.42,1.09,19.57,0,0,0,0,0,0,0
Erling Haaland[E],ST (C),0.82,3.35,1.79,1.03,0.31,2.07,0.98,14.25,0,0,0,0,0,0,0
Kevin De Bruyne[E],AM (C),0,3.41,1.09,0.4,0.22,0,3.04,49.3,1.59,2.94,77.10%,0,0,0,0
Marco Reus[E],AM (C),0,2.17,0.81,0.31,0.31,0,1.82,44.14,1.34,1.48,80.20%,0,0,0,0
Mohamed Salah[E],AM (R),0,3.6,1.47,0.69,0.22,0,1.55,29.04,1.57,1.49,80.60%,0,0,0,0
Leroy Sane[E],AM (L),0,3.68,1.36,0.39,0.42,0,2.05,34.15,3.29,2.13,79.80%,0,0,0,0
Kingsley Coman[E],AM (R),0,3.09,1.13,0.33,0.25,0,2.09,46.73,3.38,4.67,78.20%,0,0,0,0
Dani Olmo[E],AM (C),0,2.98,0.71,0.2,0.3,0,1.41,40.51,1.11,0.81,77.60%,0,0,0,0
Declan Ricce[E],DM,0.1,0.83,0.33,0.13,0.08,1.54,0.66,45.98,1.03,0.98,88.20%,2.68,1.46,64.90%,1.11
Rodri[E],DM,0.07,0.87,0.21,0.09,0.07,2.52,0.87,82.42,0.64,0.35,92.50%,1.51,1.79,69.10%,1.84
N'Golo Kante[E],DM,0.08,0.8,0.29,0.08,0.04,1.05,1.09,49.59,2.05,0.5,85.20%,2.43,2.31,69%,1.63
Joshua Kimmich[E],DM,0.12,1.42,0.53,0.16,0.24,0.69,2.72,73.23,0.77,1.47,83.90%,2.16,1.31,80.40%,0.91
Casemiro[E],DM,0.1,1.37,0.28,0.08,0.14,2.97,0.9,54.11,0.48,0.34,85.60%,2.03,1.95,64.40%,1.99
Sergej Milinković-Savić[E],DM,0.18,2.2,0.79,0.24,0.26,3.09,1.48,50.01,0.91,1.41,79.10%,1.39,1.65,67.10%,2.2
João Cancelo[E],D (L),0.11,1.82,0.65,0.12,0.24,1.44,1.44,76.52,1.8,2.68,85.70%,2.32,1.48,59.40%,1.36
Alphonso Davies[E],D (L),0.05,0.66,0.27,0.03,0.19,0.74,1.07,63.93,3.25,2.35,87%,2.38,1.61,66.30%,0.77
Trent Alexander-Arnold[E],D (R),0.08,1.58,0.39,0.09,0.33,0.44,2.72,65.64,0.99,4.91,74.90%,2.23,1.05,65.60%,0.74
Raphaël Guerreiro[E],D (L),0.12,1.21,0.31,0.21,0.24,0.17,1.76,67.98,1.07,1.73,86.20%,1.45,1.04,69.80%,0.69
Benjamin Pavard[E],D (R),0.04,0.7,0.2,0,0.1,1.94,0.77,69.86,0.27,2.21,86.70%,1.88,1.14,56.70%,1.01
Achraf Hakimi[E],D (R),0.08,0.87,0.35,0.16,0.18,0.44,1.04,50.5,1.08,2.39,86.60%,1.17,1.27,59.90%,0.81
Ruben Dias[E],D (C),0,0,0,0,0,1.82,0.23,76.94,0,0,93.90%,1.25,0.89,65.00%,1.14
Marquinhos[E],D (C),0,0,0,0,0,1.91,0.2,66.28,0,0,92.40%,1.71,0.81,64.80%,0.44
Virgil van Dijk[E],D (C),0,0,0,0,0,3.74,0.16,68,0,0,92.60%,1.16,0.47,59.50%,0.26
Pau Torres[E],D (C),0,0,0,0,0,1.79,0.26,52.63,0,0,89.80%,1.56,9.34,53.10%,0.38
Alessandro Bastoni[E],D (C),0,0,0,0,0,2.03,0.37,61.9,0,0,89.10%,1.29,0.86,64.20%,1.23
Antonio Rudiger[E],D (C),0,0,0,0,0,2.47,0.36,63.19,0,0,88.80%,0.96,0.83,56.50%,1.04